step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
220.0,2,14.0,2.0,8.570008424564373,2,14.0,0.358285931489977,2,14.0
225.0,3,28.0,4.666666666666667,6.687925169844031,3,28.0,0.399235587303801,3,28.0
230.0,4,44.0,7.333333333333333,4.194064886132381,4,44.0,0.19860800370420395,4,44.0
235.0,0,0.0,0.0,6.151089006117493,0,16.0,0.5488748597669785,0,16.0
240.0,0,0.0,0.0,7.225648232482847,0,0.0,0.7051889709076531,0,0.0
245.0,2,3.0,0.375,5.722664648982133,2,3.0,0.33158944154147346,2,3.0
250.0,2,13.0,1.4444444444444444,7.360512780076273,2,13.0,0.31174755388129227,2,13.0
255.0,0,0.0,0.0,7.978373110793013,0,2.0,0.6453409934339338,0,2.0
260.0,0,0.0,0.0,8.473540070759483,0,0.0,0.9935697240079105,0,0.0
265.0,0,0.0,0.0,9.410026019522686,0,0.0,0.9769756804100447,0,0.0
270.0,1,2.0,0.25,9.587703459157872,1,2.0,0.5942747068742253,1,2.0
275.0,2,10.0,1.25,9.749112080859122,2,10.0,0.497615607312075,2,10.0
280.0,0,0.0,0.0,6.200640732403351,0,0.0,0.6931110405253382,0,0.0
285.0,0,0.0,0.0,8.299703919635595,0,0.0,0.9822940691575078,0,0.0
290.0,0,0.0,0.0,10.082128185854904,0,0.0,0.9051030823767181,0,0.0
295.0,1,3.0,0.375,10.49053836060707,1,3.0,0.652500620989995,1,3.0
300.0,0,0.0,0.0,10.681593246334952,0,0.0,0.9986197606345069,0,0.0
305.0,0,0.0,0.0,10.921729322082333,0,0.0,0.9787342085451862,0,0.0
310.0,0,0.0,0.0,12.82087749100119,0,0.0,0.9805971321538456,0,0.0
315.0,0,0.0,0.0,10.19259706724618,0,0.0,0.6161119571876825,0,0.0
320.0,1,5.0,1.25,7.262732481045165,1,5.0,0.4104215474855124,1,5.0
325.0,2,14.0,2.8,8.256183518965734,2,14.0,0.5884572801467314,2,14.0
330.0,0,0.0,0.0,8.161892893839683,0,0.0,0.7635642345662141,0,0.0
335.0,0,0.0,0.0,5.84414147162902,0,0.0,0.5078593571143515,0,0.0
340.0,0,0.0,0.0,6.8403677916801415,0,0.0,0.6359670885435034,0,0.0
345.0,1,4.0,0.5,8.888839900804047,1,4.0,0.6518068650789722,1,4.0
350.0,1,9.0,1.0,9.44350396604747,1,9.0,0.4949903148052184,1,9.0
355.0,0,0.0,0.0,7.076220977912833,0,0.0,0.6916439767877876,0,0.0
360.0,1,2.0,0.3333333333333333,6.478592339388318,1,2.0,0.6582708989282697,1,2.0
365.0,1,7.0,1.0,8.549738891122965,1,7.0,0.6581242503347696,1,7.0
370.0,0,0.0,0.0,9.179281389445269,0,0.0,0.6880732569801445,0,0.0
375.0,1,4.0,0.5,9.533178946740483,1,4.0,0.5751921291391464,1,4.0
380.0,0,0.0,0.0,6.834524201848364,0,0.0,0.6516522798830868,0,0.0
385.0,1,5.0,0.8333333333333334,6.7133411891869414,1,5.0,0.4970958440053236,1,5.0
390.0,0,0.0,0.0,7.518625584855041,0,0.0,0.6594707413830126,0,0.0
395.0,1,4.0,0.5,10.070175998706532,1,4.0,0.6987604448762087,1,4.0
400.0,0,0.0,0.0,10.416650988549788,0,0.0,0.9628418213836154,0,0.0
405.0,1,1.0,0.16666666666666666,8.372565915321825,1,1.0,0.4886436626746424,1,1.0
410.0,0,0.0,0.0,8.988537447018942,0,0.0,0.7901718043966857,0,0.0
