step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
345.0,10,64.0,2.3703703703703702,6.369397516809044,3,32.0,0.03516767043983693,6,378.0,0.2177228314143657,9,410.0
350.0,7,45.0,2.142857142857143,4.741795258794561,2,10.0,0.13454125649775903,5,336.0,0.13427005130783545,7,346.0
355.0,5,49.0,2.45,7.07613035130665,3,25.0,0.35162328822328354,2,139.0,0.21227305382594466,5,164.0
360.0,5,52.0,3.0588235294117645,7.083041300366352,2,23.0,0.6390747837407776,3,139.0,0.31748111311348565,5,162.0
365.0,6,81.0,4.5,4.769080909107129,2,33.0,0.2981001760717892,4,158.0,0.07972636059229755,6,191.0
370.0,9,123.0,7.235294117647059,4.6585296192474885,3,47.0,0.21226437805896964,6,186.0,0.00019674171895642042,9,233.0
375.0,8,145.0,9.666666666666666,4.260528176306479,2,39.0,0.0,6,216.0,0.17294114303745972,8,255.0
380.0,7,144.0,9.6,4.786293586130868,2,49.0,0.30731490071897466,4,165.0,0.3795090763776874,6,214.0
385.0,5,113.0,6.277777777777778,5.826857468104247,0,2.0,0.6497541001686682,4,115.0,0.19151982740315285,4,117.0
390.0,6,138.0,7.666666666666667,7.2527578568778335,1,4.0,0.4093384134197729,5,138.0,0.27098341864576025,6,142.0
395.0,6,162.0,8.1,6.12116391538608,1,9.0,0.609931243807187,4,155.0,0.26557183813687263,5,164.0
400.0,9,195.0,10.263157894736842,5.742336752346788,3,16.0,0.2731630023574938,6,179.0,0.14005520189389362,9,195.0
405.0,10,231.0,12.157894736842104,4.216749359420873,4,32.0,0.3083051323934254,5,199.0,0.13113491192650203,9,231.0
410.0,11,263.0,14.61111111111111,3.250060626433406,3,39.0,0.23720340681992316,6,226.0,0.00024020961310167646,9,265.0
415.0,4,52.0,2.6,6.302409169323461,3,54.0,0.16228735982791326,0,19.0,0.37174441389325497,3,73.0
420.0,5,27.0,1.4210526315789473,7.716985104231893,2,24.0,0.1457627206233774,2,5.0,0.00224924394948793,4,29.0
425.0,3,32.0,1.8823529411764706,8.104572021801497,2,34.0,0.07637972316249285,0,6.0,0.6636738418622514,2,40.0
430.0,4,49.0,3.0625,8.727030885557049,3,51.0,0.44269951439410254,1,4.0,0.6577865946606671,4,55.0
435.0,4,69.0,3.8333333333333335,6.389203632940539,3,66.0,0.3971278722288294,1,7.0,0.41768151095072387,4,73.0
440.0,3,25.0,1.4705882352941178,7.945838322348608,2,24.0,0.0009175692051722169,1,3.0,0.31567438224466116,3,27.0
445.0,5,45.0,2.8125,6.959636684113126,2,36.0,0.31966505912172344,2,17.0,0.4958167754597913,4,53.0
450.0,2,15.0,1.0,6.510020685416753,0,11.0,0.4004601958259536,2,19.0,0.18242274012796517,2,30.0
455.0,5,35.0,2.5,7.129593842139094,1,4.0,0.6209354328117996,4,37.0,0.23594619785111756,5,41.0
460.0,5,52.0,4.0,5.4171389226762665,1,9.0,0.4535175320810563,4,47.0,0.19938307004310024,5,56.0
465.0,5,65.0,4.333333333333333,6.946790062881303,0,0.0,0.9807189538504317,4,67.0,0.16804029778784196,4,67.0
470.0,4,67.0,3.9411764705882355,6.71271671501149,0,0.0,0.8066249062617351,3,69.0,0.21595313784872858,3,69.0
475.0,6,89.0,5.235294117647059,6.295062496514569,0,0.0,0.45059360126994225,5,91.0,0.14486794895729463,5,91.0
480.0,3,7.0,0.4117647058823529,6.875915059353002,2,5.0,0.32627489178955243,1,31.0,0.36358319198777017,3,36.0
485.0,6,30.0,1.875,5.8653938250046656,4,21.0,0.08728559290379315,2,11.0,0.13620048188779713,6,32.0
490.0,7,47.0,2.473684210526316,5.89734131767677,5,43.0,0.2712416805123533,1,4.0,0.0005303283271772075,6,47.0
495.0,6,77.0,4.8125,6.690739167282857,5,70.0,0.3033894786303266,1,9.0,0.4552514806748719,6,79.0
500.0,8,111.0,5.842105263157895,4.276681289536286,7,99.0,0.018643590241252124,1,14.0,0.004058032029472707,8,113.0
