step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,35,2691.0,62.58139534883721,2.074787951910988,17,1184.0,0.051373953420961,0,0.0,0.9562360333841833,18,1507.0,0.05144630010210562,0,0.0,0.7935491030631301,35,2691.0
160.0,37,2873.0,63.84444444444444,1.8931334689349153,19,1276.0,0.04641830687508831,0,0.0,0.9122536966227136,18,1597.0,0.049033492525798944,0,0.0,0.6595871105870609,37,2873.0
165.0,37,3056.0,65.02127659574468,2.0585709232654876,19,1369.0,0.09136455560878723,0,0.0,0.9633873403806598,18,1687.0,0.0033293809291787104,0,0.0,0.9526363242127641,37,3056.0
170.0,39,3249.0,70.6304347826087,1.9613231454646285,19,1464.0,0.08560946404909917,0,0.0,0.9226912166341779,20,1787.0,0.08894061740359528,0,0.0,0.9640313071786637,39,3251.0
175.0,38,3434.0,73.06382978723404,2.067081882865297,19,1559.0,0.12500268489341426,0,0.0,0.014631824140449803,19,1877.0,0.09164440895785482,0,0.0,0.9709675938804582,38,3436.0
180.0,38,3624.0,78.78260869565217,1.787149727450673,19,1654.0,0.04624540646602411,0,0.0,1.0,19,1970.0,0.04690187793689776,0,0.0,1.0,38,3624.0
185.0,36,3322.0,69.20833333333333,2.2694036196556753,20,1754.0,0.045631512941083474,0,0.0,0.9681184528757609,16,1891.0,0.06486661954464719,0,2.0,0.9969881775673506,36,3647.0
190.0,34,2907.0,63.19565217391305,2.433719655716356,21,1859.0,0.042075796745184975,0,0.0,0.9052624086333397,13,1636.0,0.07443624278250142,0,4.0,0.9471822146097874,34,3499.0
195.0,28,2402.0,54.59090909090909,2.2263247474814594,19,1947.0,0.02716045581996733,0,0.0,0.926326787898173,9,1685.0,0.08324556654125613,0,2.0,0.926979006184523,28,3634.0
200.0,26,2194.0,48.75555555555555,2.4980283224836075,19,2034.0,0.04817454067669172,0,0.0,1.0,7,1725.0,0.19999132132327518,0,2.0,0.43297527674626635,26,3761.0
