step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,6.551713992422446,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,7.308635571375026,0,0.0,1.0,0,0.0,0.8326616535856993,0,0.0
15.0,1,2.0,0.3333333333333333,7.183325816822408,0,0.0,1.0,1,2.0,0.625819943164692,1,2.0
20.0,2,8.0,0.8888888888888888,5.8982169130788185,0,0.0,1.0,2,8.0,0.04300215811919034,2,8.0
25.0,4,22.0,1.6923076923076923,7.205776390712655,0,0.0,0.8482219339815243,3,22.0,9.782193049583435e-05,3,22.0
30.0,6,41.0,2.9285714285714284,5.985628630596895,2,4.0,0.3549618132636693,3,37.0,0.3759979990318091,5,41.0
35.0,3,37.0,2.8461538461538463,4.684462211291058,1,7.0,0.23931850146544126,2,30.0,0.01863136209283066,3,37.0
40.0,5,60.0,4.285714285714286,6.648970405678807,1,14.0,0.46680732191916086,4,50.0,0.3508306073573154,5,64.0
45.0,5,85.0,5.666666666666667,6.663060900810163,1,19.0,0.5153793226098256,4,70.0,0.3982684765486824,5,89.0
50.0,4,67.0,3.7222222222222223,6.1281072982105425,2,26.0,0.2872093584555315,2,43.0,0.4506194423282859,4,69.0
55.0,6,90.0,4.7368421052631575,8.688949421219116,3,41.0,0.5341543330463362,3,55.0,0.0004817794291773443,6,96.0
60.0,6,120.0,6.666666666666667,6.793953710298173,3,56.0,0.30750774948672,3,70.0,0.12410834289370308,6,126.0
65.0,9,160.0,8.88888888888889,4.684489628358257,5,77.0,0.1574978976553715,4,87.0,0.08986470492531327,9,164.0
70.0,10,209.0,11.0,3.988302484333345,5,102.0,0.15648188455747714,5,111.0,0.14709471014348727,10,213.0
75.0,9,239.0,13.277777777777779,4.515862746052161,5,127.0,0.15888820617571786,4,116.0,0.0019445197680171514,9,243.0
80.0,9,284.0,15.777777777777779,5.156994313173325,5,156.0,0.26682256325252934,4,136.0,0.17535824093306604,9,292.0
85.0,10,329.0,16.45,4.275809097472222,5,179.0,0.2696801445150134,4,156.0,0.13924656028772223,9,335.0
90.0,11,381.0,17.318181818181817,3.7782055373633323,6,205.0,0.03431080577326942,5,180.0,5.789235025531338e-05,11,385.0
95.0,12,424.0,20.19047619047619,4.6778226695701735,8,244.0,0.09265655391600473,4,184.0,0.26934817395874205,12,428.0
100.0,11,445.0,19.347826086956523,3.185134164767994,7,247.0,0.21056599152508815,4,204.0,0.23130532705893667,11,451.0
105.0,14,506.0,20.24,4.860756330276237,8,285.0,0.30910694467369104,6,227.0,0.0008317670554321839,14,512.0
110.0,8,266.0,11.083333333333334,3.1020136065184403,2,115.0,0.16579903199468546,6,257.0,0.07999461848319596,8,372.0
115.0,8,291.0,10.777777777777779,6.430163161610086,3,22.0,0.1994649165391214,5,271.0,0.3261426265685439,8,293.0
120.0,9,330.0,11.0,7.117986682634997,2,33.0,0.5130982963249506,7,303.0,0.2776964397003953,9,336.0
125.0,12,379.0,12.633333333333333,6.340223909786723,2,43.0,0.49525574904833897,9,340.0,0.15065605034745352,11,383.0
130.0,13,436.0,14.064516129032258,5.090375022523931,3,51.0,0.2741163363395502,9,385.0,0.136305588124615,12,436.0
135.0,14,501.0,17.892857142857142,4.906515062515173,4,68.0,0.18526553319405714,10,433.0,0.15189493514756913,14,501.0
140.0,16,575.0,20.535714285714285,3.8913399688874506,5,89.0,0.27109234386290104,11,486.0,0.12193682050565408,16,575.0
145.0,20,659.0,21.966666666666665,2.7819539672020963,8,125.0,0.2315343933455326,11,534.0,0.11893925263905009,19,659.0
150.0,21,760.0,23.75,2.266651106999138,9,170.0,0.006041260877131097,12,590.0,0.17239941761930264,21,760.0
155.0,25,882.0,26.727272727272727,2.283905661646844,12,230.0,0.05325514354129856,13,652.0,0.031224890663345505,25,882.0
160.0,22,841.0,25.484848484848484,2.397854704542889,8,202.0,0.28478580964947114,14,719.0,2.1411780379564296e-05,22,921.0
165.0,12,212.0,6.424242424242424,3.777176075898906,7,153.0,0.15040208421456572,5,319.0,0.23084432663061852,12,472.0
170.0,12,202.0,5.611111111111111,6.308551111334917,9,138.0,0.0770002903033345,2,109.0,0.5013836252710674,11,247.0
175.0,3,27.0,0.7297297297297297,7.56265791838122,2,61.0,0.23176923649951445,1,44.0,0.6381957206264984,3,105.0
180.0,6,49.0,1.53125,8.362528010752566,3,40.0,0.38577077661482556,2,58.0,0.5202120347750584,5,98.0
185.0,7,65.0,2.03125,7.518489017985628,1,42.0,0.4669099356209891,5,77.0,0.3572219215865482,6,119.0
190.0,11,108.0,3.7241379310344827,5.514823433989959,2,43.0,0.1838616297261909,9,112.0,0.22088972312777144,11,155.0
195.0,14,157.0,6.038461538461538,4.475484572894514,2,46.0,0.0010193643374778857,10,156.0,0.3094438836833879,12,202.0
200.0,9,136.0,5.230769230769231,4.430528427464031,2,56.0,0.127654007257905,7,100.0,0.1802415365230244,9,156.0
205.0,10,185.0,6.607142857142857,6.0952437099262955,2,66.0,0.40865875478071395,8,123.0,0.13860683049412803,10,189.0
210.0,10,221.0,8.5,5.723525510657688,1,60.0,0.2866604095833771,9,165.0,0.18813165769424947,10,225.0
215.0,13,281.0,13.380952380952381,4.000892919569215,4,75.0,0.0002326157782212177,9,208.0,0.05106045164617399,13,283.0
220.0,9,156.0,7.428571428571429,4.55483647311968,3,25.0,0.3698651464462105,6,201.0,0.03352808809902437,9,226.0
225.0,7,138.0,7.2631578947368425,6.186373946729679,3,40.0,0.18004912825114766,4,152.0,0.25628561419477575,7,192.0
230.0,6,59.0,3.2777777777777777,5.014926151394609,3,55.0,0.0,3,95.0,0.16191145659806677,6,150.0
235.0,7,93.0,5.470588235294118,5.844311694447747,3,70.0,0.0,4,77.0,0.17491404847810196,7,147.0
240.0,7,128.0,6.7368421052631575,6.54524726751268,3,85.0,0.0,4,97.0,0.17405998652378554,7,182.0
245.0,8,163.0,9.588235294117647,5.427130130623838,3,100.0,0.36681860382756415,4,117.0,0.0,7,217.0
250.0,6,125.0,7.8125,5.718247716163553,2,42.0,0.2353097852991096,4,137.0,0.19843440521852154,6,179.0
255.0,7,160.0,9.411764705882353,4.860920496839901,3,57.0,0.24368974781461517,4,159.0,0.19920702905277993,7,216.0
260.0,10,201.0,11.166666666666666,3.9613654069016766,5,78.0,0.011799688182385736,4,179.0,0.2206318790012766,9,257.0
265.0,11,253.0,14.882352941176471,3.677360704277799,6,108.0,0.1390555475974509,5,201.0,0.26063858194948786,11,309.0
