step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.126784942220002,0,0.0,0.9814720109113448,0,0.0
10.0,0,0.0,0.0,12.911255971991224,0,0.0,0.9829864613076404,0,0.0
15.0,0,0.0,0.0,10.436077846329615,0,0.0,0.663571024891899,0,0.0
20.0,1,5.0,1.25,10.323749502607972,1,5.0,0.4904227260502957,1,5.0
25.0,0,0.0,0.0,10.977717624595646,0,0.0,0.8315205362990605,0,0.0
30.0,1,3.0,0.6,9.949110774886407,1,3.0,0.7407330846536818,1,3.0
35.0,1,8.0,1.6,7.1816078468369495,1,8.0,0.3332727123255455,1,8.0
40.0,0,0.0,0.0,6.724923173690965,0,0.0,0.5967306789477245,0,0.0
45.0,0,0.0,0.0,8.649098146289601,0,0.0,0.9833956896712353,0,0.0
50.0,0,0.0,0.0,8.799923918814311,0,0.0,0.7408692494268753,0,0.0
55.0,1,5.0,0.7142857142857143,8.257692290184876,1,5.0,0.5190529069043769,1,5.0
60.0,1,1.0,0.16666666666666666,6.493857053778665,1,1.0,0.6662814225890616,1,1.0
65.0,1,6.0,1.0,6.2904673492696626,1,6.0,0.6580513487682235,1,6.0
70.0,0,0.0,0.0,8.353079473309208,0,0.0,0.8937684268675673,0,0.0
75.0,1,4.0,0.5,8.385882337416666,1,4.0,0.6027925150559628,1,4.0
80.0,0,0.0,0.0,8.402093656019463,0,0.0,0.9385761921338691,0,0.0
85.0,1,3.0,0.42857142857142855,7.6550276241496915,1,3.0,0.6621982306389623,1,3.0
90.0,0,0.0,0.0,7.8768946664973845,0,0.0,0.7321559722599051,0,0.0
95.0,1,4.0,0.5,8.654683954414622,1,4.0,0.5986424600983065,1,4.0
100.0,0,0.0,0.0,8.750557182111113,0,0.0,0.979374674806019,0,0.0
105.0,0,0.0,0.0,7.842198494598969,0,0.0,0.9778116789672413,0,0.0
110.0,0,0.0,0.0,8.642700126553256,0,0.0,0.9844651233752586,0,0.0
115.0,1,2.0,0.2857142857142857,9.476758841832053,1,2.0,0.6600770620538455,1,2.0
120.0,0,0.0,0.0,9.99771873292194,0,0.0,0.9940942061962014,0,0.0
125.0,0,0.0,0.0,10.369463738827065,0,0.0,0.9738590888757981,0,0.0
130.0,0,0.0,0.0,11.74707001024042,0,0.0,0.9860627412108877,0,0.0
135.0,1,2.0,0.4,8.625235439596363,1,2.0,0.6611344171528429,1,2.0
140.0,0,0.0,0.0,9.894250202050205,0,0.0,0.9832002044666561,0,0.0
145.0,0,0.0,0.0,11.108083927289115,0,0.0,0.9797324019577595,0,0.0
150.0,1,2.0,0.3333333333333333,10.376286110130506,1,2.0,0.6565575271714295,1,2.0
155.0,2,9.0,1.5,9.080493457764183,2,9.0,0.49956207718809287,2,9.0
160.0,0,0.0,0.0,5.101187696652653,0,0.0,0.5979340868233483,0,0.0
165.0,0,0.0,0.0,8.785710161854405,0,0.0,0.986130224282633,0,0.0
170.0,0,0.0,0.0,10.034973093807833,0,0.0,0.9838115194907675,0,0.0
175.0,0,0.0,0.0,10.63913420782077,0,0.0,0.7178658987938301,0,0.0
180.0,0,0.0,0.0,10.733003615986613,0,0.0,0.9832343069331109,0,0.0
185.0,0,0.0,0.0,11.60926636687238,0,0.0,0.9961054220705295,0,0.0
190.0,1,1.0,0.16666666666666666,10.13256527478143,1,1.0,0.7447360038289337,1,1.0
195.0,2,7.0,1.4,7.04949111184973,2,7.0,0.4925593345629513,2,7.0
200.0,1,2.0,0.4,5.726963826971242,1,2.0,0.6558390892318633,1,2.0
205.0,1,7.0,1.1666666666666667,6.436954313940003,1,7.0,0.6615968788616278,1,7.0
210.0,0,0.0,0.0,7.1374779783690885,0,0.0,0.6786532235676536,0,0.0
215.0,1,5.0,0.625,9.509554167444271,1,5.0,0.7383561508708273,1,5.0
220.0,0,0.0,0.0,7.987541417272078,0,0.0,0.685919544686817,0,0.0
225.0,1,5.0,0.7142857142857143,8.401951253585318,1,5.0,0.6654125041094773,1,5.0
230.0,0,0.0,0.0,8.004197854854647,0,0.0,0.6240461846003675,0,0.0
235.0,1,4.0,0.5714285714285714,9.954514485200859,1,4.0,0.7364113016230956,1,4.0
240.0,0,0.0,0.0,9.915701060962686,0,0.0,0.9519740722758255,0,0.0
245.0,1,3.0,0.5,9.466454573925908,1,3.0,0.4897593921256433,1,3.0
250.0,0,0.0,0.0,10.029378797552601,0,0.0,0.7269190062639683,0,0.0
255.0,1,3.0,0.5,9.426220208768326,1,3.0,0.6569886083123051,1,3.0
260.0,2,10.0,1.6666666666666667,8.43356544998017,2,10.0,0.5841012637064852,2,10.0
265.0,0,0.0,0.0,5.90187387261452,0,0.0,0.5005062563644562,0,0.0
270.0,1,3.0,0.5,6.835224063174908,1,3.0,0.6570150134721232,1,3.0
275.0,0,0.0,0.0,8.758058611765112,0,0.0,0.9820828230988339,0,0.0
280.0,0,0.0,0.0,9.37251451629007,0,0.0,0.6614387052620901,0,0.0
285.0,0,0.0,0.0,10.974203654467786,0,0.0,0.979661678010407,0,0.0
290.0,1,1.0,0.16666666666666666,9.929487865865195,1,1.0,0.6610640532386837,1,1.0
295.0,0,0.0,0.0,10.195647015741315,0,0.0,0.9931165718113533,0,0.0
300.0,1,1.0,0.16666666666666666,8.961063925046172,1,1.0,0.6596824338211403,1,1.0
305.0,1,6.0,1.0,9.925289788382853,1,5.0,0.7189272368663302,1,5.0
310.0,0,0.0,0.0,8.385327097344712,0,0.0,0.8129841496005442,0,0.0
315.0,1,4.0,0.8,7.649396689418147,1,4.0,0.49743813015464516,1,4.0
320.0,0,0.0,0.0,8.750616265440636,0,0.0,0.7677629866871467,0,0.0
325.0,1,4.0,0.5714285714285714,9.934703464240444,1,4.0,0.7399695270185265,1,4.0
330.0,0,0.0,0.0,10.841299919751714,0,0.0,0.9889408060073567,0,0.0
335.0,1,1.0,0.16666666666666666,9.648623582415036,1,1.0,0.48816969898207047,1,1.0
340.0,0,0.0,0.0,9.737662575773587,0,0.0,0.8636230946611129,0,0.0
345.0,1,3.0,0.6,9.083112038154244,1,3.0,0.6562302700369215,1,3.0
350.0,0,0.0,0.0,10.23026241603034,0,0.0,0.9783194677049099,0,0.0
355.0,0,0.0,0.0,12.17037178842908,0,0.0,0.9900165009854561,0,0.0
360.0,0,0.0,0.0,11.07800401163573,0,0.0,0.9249162631006678,0,0.0
365.0,1,3.0,0.6,9.810939513823046,1,3.0,0.6656851953699793,1,3.0
370.0,0,0.0,0.0,11.051724705379362,0,0.0,0.9842392971621022,0,0.0
375.0,0,0.0,0.0,11.520080083972456,0,0.0,0.9881245399320691,0,0.0
380.0,0,0.0,0.0,12.20609232281749,0,0.0,0.9802076221479532,0,0.0
385.0,0,0.0,0.0,10.776271822772241,0,0.0,0.5897856117243059,0,0.0
390.0,0,0.0,0.0,9.328851271335644,0,0.0,0.9737899595297961,0,0.0
395.0,0,0.0,0.0,12.11015129566842,0,0.0,0.9841613385146144,0,0.0
400.0,1,2.0,0.3333333333333333,10.676690781113907,1,2.0,0.7425130439274114,1,2.0
405.0,2,9.0,1.8,7.452184226531301,2,9.0,0.3262030679814517,2,9.0
410.0,0,0.0,0.0,7.846258214791352,0,0.0,0.7233017858837617,0,0.0
415.0,0,0.0,0.0,10.325880896011528,0,0.0,0.9930662037118325,0,0.0
420.0,0,0.0,0.0,10.443135679353157,0,0.0,0.986246060239306,0,0.0
425.0,0,0.0,0.0,10.27484509094061,0,0.0,0.6591894764448027,0,0.0
430.0,1,3.0,0.6,9.019808830394485,1,3.0,0.6583427826029454,1,3.0
435.0,1,8.0,1.6,9.671802222360082,1,8.0,0.6593396319006203,1,8.0
440.0,1,1.0,0.16666666666666666,8.41910234442622,1,1.0,0.652675665154861,1,1.0
445.0,1,6.0,1.0,8.97038167933338,1,6.0,0.732597679315118,1,6.0
450.0,0,0.0,0.0,7.567228549640163,0,0.0,0.7147993156032074,0,0.0
455.0,1,4.0,0.6666666666666666,8.58287471088178,1,4.0,0.49795204576237234,1,4.0
460.0,0,0.0,0.0,8.760582106394342,0,0.0,0.6382469128664693,0,0.0
465.0,1,4.0,0.6666666666666666,9.696403640975198,1,4.0,0.7387825748003523,1,4.0
470.0,0,0.0,0.0,9.942020009774263,0,0.0,0.9745309233286584,0,0.0
475.0,1,3.0,0.5,9.084930057408075,1,3.0,0.48843543936417266,1,3.0
480.0,0,0.0,0.0,9.840454017919855,0,0.0,0.8479034760966258,0,0.0
485.0,1,2.0,0.3333333333333333,8.854517479552527,1,2.0,0.737136573987573,1,2.0
490.0,0,0.0,0.0,9.262499299841984,0,0.0,0.986031559615654,0,0.0
495.0,0,0.0,0.0,9.663152091946566,0,0.0,0.778343271297051,0,0.0
500.0,1,3.0,0.5,10.416268233095417,1,3.0,0.653294331335516,1,3.0
505.0,0,0.0,0.0,11.630520557393856,0,0.0,0.9933271298535769,0,0.0
510.0,1,2.0,0.3333333333333333,9.983003479599649,1,2.0,0.6527775382343849,1,2.0
515.0,1,7.0,1.4,8.76989875625654,1,5.0,0.6533660894864338,1,5.0
520.0,1,2.0,0.3333333333333333,6.745720181998526,1,2.0,0.6560650453533988,1,2.0
525.0,1,7.0,1.4,6.388243271727495,1,7.0,0.49745006241645173,1,7.0
530.0,0,0.0,0.0,8.312306425548758,0,0.0,0.7931707002651001,0,0.0
535.0,1,4.0,0.5,10.052606153242959,1,4.0,0.7432770362755268,1,4.0
540.0,0,0.0,0.0,9.429673869299295,0,0.0,0.850935802483415,0,0.0
545.0,1,3.0,0.5,8.838557874340546,1,3.0,0.4980218627735929,1,3.0
550.0,0,0.0,0.0,10.703842356310743,0,0.0,0.9979724134629797,0,0.0
555.0,1,2.0,0.3333333333333333,9.460068217835952,1,2.0,0.7332521349526762,1,2.0
560.0,0,0.0,0.0,9.823868733084115,0,0.0,0.9791050870360722,0,0.0
565.0,0,0.0,0.0,10.817801442726541,0,0.0,0.716441654778775,0,0.0
570.0,0,0.0,0.0,10.19179382535725,0,0.0,0.9857835986524734,0,0.0
575.0,1,1.0,0.2,8.353745550512288,1,1.0,0.6637798347745403,1,1.0
580.0,0,0.0,0.0,9.04083825154886,0,0.0,0.9794544607491784,0,0.0
585.0,0,0.0,0.0,11.160614601472671,0,0.0,0.9897335530138945,0,0.0
590.0,0,0.0,0.0,11.097617819505444,0,0.0,0.9753451344959041,0,0.0
595.0,1,2.0,0.4,8.859376924338903,1,2.0,0.5000296323211899,1,2.0
600.0,1,7.0,1.1666666666666667,9.566097304580042,1,5.0,0.6326570034956086,1,5.0
605.0,0,0.0,0.0,9.189246437055433,0,0.0,0.980772217103626,0,0.0
610.0,0,0.0,0.0,8.63883465913493,0,0.0,0.7896259371816466,0,0.0
615.0,0,0.0,0.0,7.110976908652699,0,0.0,0.5067843613656836,0,0.0
620.0,1,5.0,0.7142857142857143,8.081377454721402,1,5.0,0.4309778449061142,1,5.0
625.0,0,0.0,0.0,9.208464326571763,0,0.0,0.9904347767023535,0,0.0
630.0,0,0.0,0.0,8.593790725440792,0,0.0,0.9857235178176739,0,0.0
635.0,0,0.0,0.0,8.491924632613225,0,0.0,0.6586869364124767,0,0.0
640.0,1,4.0,0.5714285714285714,9.407619651167014,1,4.0,0.6638644203199521,1,4.0
645.0,0,0.0,0.0,11.121728338085477,0,0.0,0.9951214865476349,0,0.0
650.0,0,0.0,0.0,10.96158021345681,0,0.0,0.9859283259600372,0,0.0
655.0,1,2.0,0.3333333333333333,8.738425550343576,1,2.0,0.6025409673709126,1,2.0
660.0,2,11.0,1.8333333333333333,8.131654166514322,2,11.0,0.49584382834430984,2,11.0
665.0,0,0.0,0.0,7.215536310245883,0,0.0,0.5439794753398624,0,0.0
670.0,0,0.0,0.0,8.231255071915358,0,0.0,0.987615232986723,0,0.0
675.0,0,0.0,0.0,9.85493390330728,0,0.0,0.9920477313601554,0,0.0
680.0,0,0.0,0.0,10.181870068699979,0,0.0,0.6724801396035112,0,0.0
685.0,0,0.0,0.0,10.624338944195687,0,0.0,0.9748784707982375,0,0.0
690.0,0,0.0,0.0,11.908377111679314,0,0.0,0.9872991787016323,0,0.0
695.0,0,0.0,0.0,13.14272323897335,0,0.0,0.9832012245051933,0,0.0
700.0,1,1.0,0.2,10.898841194964922,1,1.0,0.6576530727596727,1,1.0
705.0,1,6.0,1.5,7.923651950146391,1,6.0,0.3981717517659759,1,6.0
710.0,0,0.0,0.0,9.052972265425932,0,0.0,0.9432421224288734,0,0.0
715.0,0,0.0,0.0,9.320584220788154,0,0.0,0.9920515736323671,0,0.0
720.0,0,0.0,0.0,8.619840092698979,0,0.0,0.6898301772181762,0,0.0
725.0,1,5.0,0.7142857142857143,10.637965688898529,1,5.0,0.6522323429281388,1,5.0
730.0,0,0.0,0.0,11.229943368654117,0,0.0,0.975256946666814,0,0.0
735.0,0,0.0,0.0,10.69974169616811,0,0.0,0.9745880000403866,0,0.0
740.0,0,0.0,0.0,11.946071607424988,0,0.0,0.9848197124275672,0,0.0
745.0,1,2.0,0.4,10.087287774963057,1,2.0,0.7201921108180505,1,2.0
750.0,1,1.0,0.2,7.597318772295781,1,1.0,0.6673734912708698,1,1.0
755.0,1,6.0,1.2,8.488749961196614,1,6.0,0.48793226783143745,1,6.0
760.0,0,0.0,0.0,10.35384902745085,0,0.0,0.8273861860867714,0,0.0
765.0,1,4.0,0.6666666666666666,9.491887991108198,1,4.0,0.737983489121804,1,4.0
770.0,0,0.0,0.0,8.389188203013905,0,0.0,0.6932598314856494,0,0.0
775.0,1,4.0,0.6666666666666666,8.78412129407599,1,4.0,0.654021533178381,1,4.0
780.0,0,0.0,0.0,9.900651931435883,0,0.0,0.983621628336782,0,0.0
785.0,0,0.0,0.0,10.381477373467492,0,0.0,0.781404290436498,0,0.0
790.0,0,0.0,0.0,9.39286240443568,0,0.0,0.9944206077438146,0,0.0
795.0,0,0.0,0.0,10.042139442487233,0,0.0,0.7744439813830449,0,0.0
800.0,1,4.0,0.8,9.245028393769065,1,4.0,0.6550628344396977,1,4.0
805.0,0,0.0,0.0,7.761776239117188,0,0.0,0.5110375840431307,0,0.0
810.0,1,4.0,0.6666666666666666,8.395899757176258,1,4.0,0.6964133132666865,1,4.0
815.0,0,0.0,0.0,8.359389234404391,0,0.0,0.9868423634252991,0,0.0
820.0,1,1.0,0.14285714285714285,8.015193614966437,1,1.0,0.6618760875454734,1,1.0
825.0,0,0.0,0.0,7.378571034913133,0,0.0,0.6018579187992381,0,0.0
830.0,1,5.0,0.625,9.071365086840126,1,5.0,0.6281130846937888,1,5.0
835.0,0,0.0,0.0,8.28908414826594,0,0.0,0.9740765702238715,0,0.0
840.0,0,0.0,0.0,7.453752537767911,0,0.0,0.7010364512449331,0,0.0
845.0,0,0.0,0.0,8.288799444226497,0,0.0,0.9163453274576621,0,0.0
850.0,1,2.0,0.2857142857142857,9.035575335319182,1,2.0,0.6354921777233062,1,2.0
855.0,0,0.0,0.0,10.060979607905745,0,0.0,0.9866700838233906,0,0.0
860.0,0,0.0,0.0,10.965023820607337,0,0.0,0.9823143610988241,0,0.0
865.0,0,0.0,0.0,11.239904016968373,0,0.0,0.9199475345864844,0,0.0
870.0,1,3.0,0.6,10.187865946510879,1,3.0,0.6640714203354346,1,3.0
875.0,0,0.0,0.0,10.885856245757397,0,0.0,0.9864143851900485,0,0.0
880.0,0,0.0,0.0,12.077591933285605,0,0.0,0.991109595933036,0,0.0
885.0,0,0.0,0.0,12.89508263367838,0,0.0,0.9889169528072408,0,0.0
890.0,1,2.0,0.4,10.504708667582232,1,2.0,0.6607421509197736,1,2.0
895.0,0,0.0,0.0,10.975873363838595,0,0.0,0.9903222040530512,0,0.0
900.0,0,0.0,0.0,11.485299426295274,0,0.0,0.9866381370914086,0,0.0
905.0,0,0.0,0.0,11.911763419259183,0,0.0,0.9916192711567485,0,0.0
910.0,0,0.0,0.0,9.520966786295284,0,0.0,0.6513178941923297,0,0.0
915.0,0,0.0,0.0,10.65607404364486,0,0.0,0.9879938447805384,0,0.0
920.0,0,0.0,0.0,11.731585245471141,0,0.0,0.9774087074962146,0,0.0
925.0,1,2.0,0.3333333333333333,10.188946689051125,1,2.0,0.7406141237395807,1,2.0
930.0,2,8.0,1.6,7.158261159454726,2,8.0,0.49165232761987787,2,8.0
935.0,1,2.0,0.4,6.011630588524176,1,2.0,0.65896249014969,1,2.0
940.0,1,7.0,1.1666666666666667,7.437128882101487,1,7.0,0.6554743773520308,1,7.0
945.0,1,12.0,1.7142857142857142,8.99829562614559,1,12.0,0.6522440617470863,1,12.0
950.0,0,0.0,0.0,9.40525100172039,0,0.0,0.704738389288886,0,0.0
955.0,1,5.0,0.7142857142857143,10.517852520858174,1,5.0,0.6398094861249307,1,5.0
960.0,0,0.0,0.0,9.924824061072604,0,0.0,0.98790975545112,0,0.0
965.0,0,0.0,0.0,9.810588436517781,0,0.0,0.9980515408310905,0,0.0
970.0,0,0.0,0.0,12.163083427926324,0,0.0,0.9879504547591816,0,0.0
975.0,1,2.0,0.4,10.905224366796011,1,2.0,0.7396762754690709,1,2.0
980.0,1,1.0,0.25,6.980939327090903,1,1.0,0.4908775698006718,1,1.0
985.0,1,6.0,1.2,9.11866646495906,1,6.0,0.49116702397866385,1,6.0
990.0,0,0.0,0.0,10.661054436482301,0,0.0,0.9878739915843727,0,0.0
995.0,1,1.0,0.16666666666666666,9.837973662066894,1,1.0,0.746795970397978,1,1.0
1000.0,0,0.0,0.0,9.637047062517075,0,0.0,0.8087005914297136,0,0.0
