step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
150.0,22,281.0,7.805555555555555,4.9998957708154474,22,512.0,0.29854722396015365,22,512.0
155.0,17,299.0,9.34375,2.870418936640949,17,548.0,0.2065595709506754,17,548.0
160.0,18,334.0,9.277777777777779,4.249780130815131,18,535.0,0.191950728374257,18,535.0
165.0,20,425.0,11.805555555555555,2.942436534685672,20,626.0,0.04375107355382337,20,626.0
170.0,28,550.0,14.864864864864865,3.296085787763125,28,751.0,0.12237610370120186,28,751.0
175.0,28,690.0,20.294117647058822,1.2127061428466162,28,891.0,0.03636114080818264,28,891.0
180.0,26,754.0,22.176470588235293,1.459885046684452,26,980.0,0.08029164310311979,26,980.0
185.0,22,835.0,20.875,4.47019946128944,22,1010.0,0.22368515775975115,22,1010.0
190.0,23,830.0,19.761904761904763,4.355312638558092,23,1061.0,0.19600105079057537,23,1061.0
195.0,25,953.0,23.825,4.510472629617534,25,1128.0,0.14585075349230384,25,1128.0
200.0,21,1025.0,26.28205128205128,3.932299691277225,21,1208.0,0.10250518751153989,21,1208.0
205.0,22,1132.0,30.594594594594593,5.051602892226756,22,1287.0,0.1431461732114465,22,1287.0
210.0,24,1244.0,35.542857142857144,3.6589360185652815,24,1399.0,0.09014091664467716,24,1399.0
215.0,26,1368.0,45.6,1.6240070954692112,26,1523.0,0.06697650845647792,26,1523.0
220.0,21,957.0,25.18421052631579,3.9651783704116346,21,1393.0,0.27740624539058345,21,1393.0
225.0,14,283.0,7.447368421052632,5.575049643074072,14,1045.0,0.3031966515295269,14,1045.0
230.0,7,64.0,1.5238095238095237,5.543286035644701,7,908.0,0.2512884861384974,7,908.0
235.0,16,136.0,3.5789473684210527,3.818305824161867,16,980.0,0.15904952523766025,16,980.0
240.0,24,236.0,6.9411764705882355,1.023722508220876,24,1080.0,0.06901878051649035,24,1080.0
245.0,26,312.0,8.666666666666666,1.630938999114063,26,1182.0,0.09373090580075633,26,1182.0
250.0,32,459.0,12.078947368421053,2.006321252047449,32,1303.0,0.056074607316656,32,1303.0
255.0,26,477.0,10.840909090909092,4.060249224957744,26,1237.0,0.2047611199974036,26,1237.0
260.0,20,402.0,9.571428571428571,4.625643132031525,20,808.0,0.22269055212858366,20,808.0
265.0,14,372.0,8.454545454545455,5.01787586882963,14,886.0,0.24552515026412053,14,886.0
270.0,24,468.0,11.414634146341463,2.309899354528553,24,982.0,0.11310914893489717,24,982.0
275.0,26,282.0,7.05,1.5496483257150615,26,990.0,0.06260048855573748,26,990.0
280.0,22,220.0,5.238095238095238,3.8513709316442077,22,918.0,0.1733245325783968,22,918.0
285.0,19,220.0,5.238095238095238,3.599686825819241,19,816.0,0.1132013235633472,19,816.0
