step_time,reward,total_stopped,total_wait_time,total_co2_emission,mean_co2_emission,total_travel_time
5.0,,0,0.0,4416.732032126173,4.416732032126173,20.88616992440783
10.0,-0.0,0,0.0,11160.39625368052,5.580198126840259,21.337208243113338
15.0,-0.0,0,0.0,5672.5132999108855,5.672513299910886,42.82335403901101
20.0,-0.0,1,2.0,27417.736993717903,11.231715973723606,46.124347440129874
25.0,-2789.6894102876804,1,7.0,25345.035620077288,8.834541375372936,50.376038393595095
30.0,-6452.963103871435,2,17.0,22626.438203810605,5.78588301681253,35.34294416847494
35.0,-6228.535948152022,3,32.0,11841.067163279435,3.6927855763422235,27.010669479012478
40.0,-5485.425822787999,4,52.0,22386.874910335966,8.80820193792949,83.01724840453149
45.0,-5485.425822787999,6,80.0,25730.575936728055,5.7732403806226955,80.62359071992913
50.0,-25858.821666334065,7,112.0,34830.09894560556,9.00255451919838,127.54692367511365
55.0,-25858.821666334065,7,147.0,33801.21513860643,12.49945779622879,70.81038048602564
60.0,-33965.214896602425,9,192.0,35167.5005493422,8.158857011948912,47.45405027243243
65.0,-64335.44002744448,10,238.0,37291.94016189333,5.892174990997709,125.01490993539778
70.0,-86921.36906244626,12,293.0,53767.63182867832,10.82305377574718,94.13724579277647
75.0,-86921.36906244626,12,353.0,39652.42873427129,4.35540824655483,124.29635852396495
80.0,-136787.53569444446,15,423.0,59310.66935757647,11.380958007333874,158.06448411765578
85.0,-136787.53569444446,15,498.0,66120.86814489309,12.470035700735682,103.65714363482115
90.0,-147078.20922056775,16,578.0,55622.00182015379,7.351663205031709,373.63322888207676
95.0,-136787.53569444446,18,663.0,55244.7915374641,6.641135797060136,49.78313406267917
100.0,-178659.62731326252,19,754.0,60910.6143679573,5.071984059401906,112.71268718427582
105.0,-213455.36952079347,20,850.0,65223.984033129775,7.2116349529209645,254.28325439706776
110.0,-199669.1383795571,23,956.0,68612.81907612339,5.545627484577939,64.68536017536151
115.0,-199669.1383795571,24,1072.0,64359.5726135676,4.950736354889815,91.30010311945236
120.0,-283315.9899425777,23,1186.0,64986.98186323444,5.371856014189835,458.915467442269
