step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.45365705663465,0,0.0,0.9800933245814543,0,0.0,0.9811101769538473,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9795278713736473,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9774015895211128,0,0.0,0.9788190012265052,0,0.0,0.981140761171401,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9802147093593763,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.178435473271453,0,0.0,0.9533132097514045,0,0.0,0.9798155559323202,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9598726727492739,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9758518728176847,0,0.0,0.978717501456513,0,0.0,0.8943890035152323,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9084933087318888,0,0.0,1.0,0,0.0
15.0,3,3.0,0.075,10.914040039493306,1,1.0,0.7246797742527673,0,0.0,0.9432058170305815,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7305522762280581,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.931188830840575,0,0.0,0.7268876600880594,1,1.0,0.7271803829558374,0,0.0,0.9719579009077755,0,0.0,0.9898379795783152,0,0.0,1.0,1,1.0,0.7573478338725567,0,0.0,1.0,3,3.0
20.0,6,18.0,0.32142857142857145,10.022842247541737,2,10.0,0.6845203954726904,0,0.0,0.9699300189420783,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7637351367928321,0,2.0,0.5317422123264673,0,0.0,1.0,0,0.0,1.0,1,1.0,0.694265041954314,3,7.0,0.47996245425079903,0,0.0,0.8006353978989754,0,2.0,0.7584773180795948,0,0.0,0.9927127359307757,0,0.0,1.0,0,0.0,0.8109296745167052,0,2.0,0.6480682365474426,6,24.0
25.0,12,62.0,0.8611111111111112,10.057977669827542,5,26.0,0.5806436380270369,0,0.0,0.8407778858001663,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9473636425111888,0,2.0,0.8879585076153015,0,0.0,1.0,0,0.0,1.0,2,9.0,0.5360760855538912,4,25.0,0.3971043189095276,0,0.0,0.8718187335136758,1,4.0,0.7896979116548235,0,0.0,0.6055177788568777,0,0.0,1.0,0,0.0,0.9496561358576108,0,2.0,0.8842088939673531,12,68.0
30.0,17,94.0,1.175,8.082084051844925,6,53.0,0.4594635027446774,1,3.0,0.47366477841504717,0,0.0,0.4713205749487752,0,0.0,1.0,0,0.0,0.9545442052725152,0,2.0,0.8750919427757674,0,0.0,1.0,0,0.0,1.0,5,27.0,0.30339667925778946,1,21.0,0.43505129447054386,1,1.0,0.7423483984500024,2,10.0,0.5200595598077085,0,0.0,1.0,0,4.0,0.4945286761427613,1,1.0,0.6605725960363578,0,2.0,0.9028950317917392,17,124.0
35.0,17,74.0,0.7708333333333334,7.696672889725423,2,44.0,0.4779067411180357,4,24.0,0.4337429958556586,0,0.0,0.9102942372725583,0,0.0,1.0,0,0.0,0.9422022164259451,1,4.0,0.38979555116728665,0,0.0,1.0,0,0.0,1.0,1,22.0,0.42694972451129265,0,1.0,0.819754490924566,2,7.0,0.5658775021111938,4,26.0,0.18366768295287947,0,4.0,0.802870761600143,0,4.0,0.8308568976920703,2,10.0,0.6548915588407901,1,3.0,0.213854381288054,17,149.0
40.0,13,58.0,0.5178571428571429,8.551863593697636,2,13.0,0.5980065406180236,0,18.0,0.6871071455691447,0,4.0,0.6452530400943365,0,0.0,1.0,0,0.0,0.9597123496777948,5,24.0,0.28374433918323366,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7671113606759934,0,0.0,0.7138157760789677,0,3.0,0.5929664680320933,1,21.0,0.30918139538806994,0,4.0,0.8798087455852839,0,4.0,0.8563528368081236,5,29.0,0.5599890664902885,0,8.0,0.28353450407376335,13,128.0
45.0,9,43.0,0.35833333333333334,8.932262255395102,3,20.0,0.5369316526092053,0,4.0,0.8248013561912767,0,4.0,0.7477885555045032,0,0.0,0.8740721291489812,0,0.0,0.9743175442791251,1,29.0,0.3379306566753164,0,2.0,0.4391441004142995,0,0.0,1.0,0,0.0,0.9386874191062072,3,8.0,0.43628932694873257,1,4.0,0.5992508323932386,1,14.0,0.7331995814383986,0,4.0,0.8283662860355491,0,0.0,0.7731469482885718,0,19.0,0.28488707867662016,0,6.0,0.8026726900215146,9,114.0
50.0,21,122.0,0.8970588235294118,9.42982437469557,6,45.0,0.5076467507107896,2,8.0,0.6564058099619403,1,9.0,0.7689713284024723,0,0.0,0.8368610781404076,0,0.0,0.9087062695392989,0,5.0,0.641896063118141,0,4.0,0.7867115210064397,0,0.0,1.0,0,0.0,0.7598095165113073,4,27.0,0.4327460026627785,2,14.0,0.5717636032985738,1,19.0,0.8318901560263192,1,5.0,0.5425797871953774,0,0.0,0.8562401012179637,4,15.0,0.4448458236069125,0,8.0,0.8622623458233554,21,159.0
55.0,22,177.0,1.1644736842105263,7.951507995813958,7,77.0,0.42572421576678054,0,4.0,0.4464676478474694,1,13.0,0.4973249381019761,0,0.0,0.8857029691216752,1,2.0,0.7730651469530949,4,13.0,0.567916730036031,0,4.0,0.8969698476925565,0,0.0,1.0,1,6.0,0.5481559262582536,0,20.0,0.47894350814519954,2,24.0,0.6476815261269541,1,20.0,0.6268456936513933,0,1.0,0.13261176453529555,1,3.0,0.38541339088924587,4,35.0,0.4095211556521542,0,4.0,0.9033743958563121,22,226.0
60.0,30,254.0,1.5875,7.841508785802597,9,121.0,0.38416323826357207,1,3.0,0.5338385032085661,1,4.0,0.758323431133719,0,0.0,0.8638352927432503,1,1.0,0.7290815790788915,6,38.0,0.3738947801991657,1,5.0,0.1859957069900229,0,0.0,0.9039705968298349,0,7.0,0.7229006369784922,0,0.0,0.6580852564399854,0,0.0,0.9390963651708732,7,43.0,0.2965638421263938,0,3.0,0.4007869401107787,0,5.0,0.6879803698336969,4,59.0,0.41537457039737036,0,0.0,0.8409373512220263,30,289.0
65.0,33,241.0,1.3693181818181819,8.104052826105438,7,113.0,0.36962330157421347,2,12.0,0.5017120402063678,1,8.0,0.8299067816050489,1,1.0,0.6384834516893847,2,9.0,0.5531912656426216,2,39.0,0.17196530913691593,0,9.0,0.3708930985738474,0,4.0,0.7780035788917874,0,4.0,0.855438557023065,1,1.0,0.4994940853774252,2,7.0,0.509229824089867,11,90.0,0.010977372011252247,0,3.0,0.883890939108135,0,2.0,0.9123668388945126,4,79.0,0.5726813023508075,0,0.0,0.7401020450247032,33,381.0
70.0,41,343.0,1.7864583333333333,7.676765195216305,3,58.0,0.46085725676382117,0,9.0,0.3854335697624081,1,4.0,0.670297715909504,1,8.0,0.21747132565965818,4,25.0,0.37279959881772806,2,9.0,0.20556857620991736,0,6.0,0.9004477006323571,0,4.0,0.8346941928360242,1,1.0,0.7682831453652844,4,19.0,0.467762598337474,3,20.0,0.6303312496657903,12,151.0,0.037725875163736565,0,3.0,0.9204492148867652,1,3.0,0.4105393931547242,4,99.0,0.5332179482731843,5,14.0,0.3906212241245313,41,433.0
75.0,46,358.0,1.854922279792746,6.709022405811076,2,46.0,0.4108436929856312,4,21.0,0.46695047799597966,6,22.0,0.3885511824950647,1,13.0,0.7538339131486981,0,20.0,0.4350824920256862,0,8.0,0.26837430123952183,0,4.0,0.8777117040971676,0,4.0,0.8708769288227701,2,9.0,0.5931268370630559,0,18.0,0.6684424187853091,5,41.0,0.5671892076927688,6,149.0,0.3479455473159017,0,7.0,0.26898200523751514,5,20.0,0.05601014655973816,6,122.0,0.3195739608166775,9,51.0,0.26545889136052825,46,555.0
