step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
145.0,4,9.0,0.42857142857142855,6.083554529407964,0,2.0,0.786164483467405,3,58.0,0.3535814470277734,3,60.0
150.0,6,34.0,1.7,7.040074265161533,1,9.0,0.6230802464463687,5,66.0,0.1498171719122933,6,75.0
155.0,7,50.0,2.272727272727273,6.558747882054792,3,18.0,0.22114289977887913,4,63.0,0.191406855941339,7,81.0
160.0,10,90.0,3.75,5.677878312239433,5,40.0,0.241185032507973,4,60.0,0.16519878501616664,9,100.0
165.0,4,76.0,3.619047619047619,5.7992810223967055,0,28.0,0.5146133359802323,4,80.0,0.15222780824571416,4,108.0
170.0,7,101.0,4.208333333333333,8.24854728386112,2,10.0,0.5463715453963243,4,100.0,0.3286402937139444,6,110.0
175.0,7,131.0,4.517241379310345,7.800721146699907,2,19.0,0.46858913978997807,4,120.0,0.36747476725396994,6,139.0
180.0,8,165.0,5.892857142857143,7.641791504192395,3,33.0,0.1355415005278751,4,140.0,0.3468213436622653,7,173.0
185.0,8,204.0,8.5,6.2621914086237,3,48.0,0.2577730091203169,5,164.0,0.2658891616539386,8,212.0
190.0,7,222.0,9.25,6.212348741255359,2,43.0,0.4497341456077293,5,189.0,0.15281323464603827,7,232.0
195.0,9,261.0,11.863636363636363,4.92589678399337,4,55.0,0.248303668422601,5,216.0,0.3331205751447382,9,271.0
200.0,10,303.0,13.173913043478262,3.867027243885123,3,69.0,0.10895006301919524,7,246.0,0.22048130125366552,10,315.0
205.0,13,356.0,13.185185185185185,5.647065877941247,3,86.0,0.5149120942738997,8,282.0,0.19037911940597202,11,368.0
210.0,8,309.0,11.884615384615385,5.772566701428061,1,54.0,0.44699589148175367,7,314.0,0.17097103792828894,8,368.0
215.0,9,348.0,13.384615384615385,6.390581390471869,1,3.0,0.5221610659645827,8,352.0,0.12722909410854194,9,355.0
220.0,9,278.0,11.12,6.181819698649651,3,10.0,0.07422564707483835,5,274.0,0.14851822984347288,8,284.0
225.0,5,293.0,13.318181818181818,7.8169641807981245,0,3.0,0.24872459546646114,5,299.0,0.1095042162898819,5,302.0
230.0,7,319.0,17.72222222222222,6.54778582386905,0,0.0,0.6899547841865126,6,327.0,0.22492662310583944,6,327.0
235.0,8,352.0,22.0,6.068486901326972,1,3.0,0.0008554268298940997,6,357.0,0.36177759076465044,7,360.0
240.0,6,376.0,23.5,4.060367544457327,1,8.0,0.3581016178454882,5,374.0,0.06550768498431335,6,382.0
245.0,7,410.0,25.625,6.0257396489107125,1,15.0,0.7044039328611391,6,403.0,5.139488306949777e-06,7,418.0
250.0,9,448.0,26.352941176470587,4.361843863906494,2,21.0,0.3220654157966195,6,433.0,0.0,8,454.0
255.0,9,484.0,23.047619047619047,4.663301291530077,2,27.0,0.0,6,463.0,0.13919766085254565,8,490.0
260.0,8,505.0,25.25,5.920622534647972,2,37.0,0.4222595275885134,5,474.0,0.23917269246123019,7,511.0
265.0,11,551.0,23.956521739130434,4.606781565460682,3,54.0,0.37915626945869985,7,505.0,0.0029210741602073574,10,559.0
270.0,7,138.0,6.2727272727272725,5.474490476353657,4,69.0,0.24721779859407164,3,287.0,0.2033679310163372,7,356.0
275.0,9,114.0,4.956521739130435,6.574506771450082,5,93.0,0.1751479566441416,2,81.0,0.4017251009159948,7,174.0
280.0,9,145.0,6.590909090909091,4.624809854995857,7,125.0,0.10925917221800914,2,80.0,0.01085145733974742,9,205.0
285.0,8,156.0,7.428571428571429,5.352148215239738,5,125.0,0.28060589725326146,3,94.0,0.15757994484758364,8,219.0
290.0,9,188.0,8.173913043478262,5.911269829433625,6,150.0,0.0056530705874200445,3,42.0,0.6098789687936786,9,192.0
295.0,13,240.0,10.434782608695652,4.08858627454614,7,184.0,0.06537207897133582,5,60.0,0.31310992346151173,12,244.0
300.0,16,291.0,10.392857142857142,2.4309635713004765,8,221.0,0.10507114274654739,6,78.0,0.024584590192616614,14,299.0
305.0,17,372.0,13.777777777777779,3.637933522434857,8,263.0,0.15657826568309796,7,109.0,0.11267890018154549,15,372.0
310.0,15,397.0,14.178571428571429,3.385535541162852,7,255.0,0.29249999822296285,6,132.0,0.0884406004160384,13,387.0
315.0,19,485.0,15.64516129032258,3.7843621577257043,8,289.0,0.0018681251482381084,7,167.0,0.08590007442911869,15,456.0
320.0,17,559.0,19.275862068965516,3.8353269886679358,6,308.0,0.13090631603389635,7,202.0,0.2140860360024207,13,510.0
325.0,19,649.0,24.037037037037038,3.7238990762317705,7,339.0,0.19123929442433502,7,239.0,0.1230925627504843,14,578.0
330.0,20,745.0,26.607142857142858,3.208522267995034,8,375.0,0.0008390949239697581,7,274.0,0.08431612944923983,15,649.0
335.0,21,845.0,32.5,1.9338576695820622,8,415.0,0.0,7,307.0,0.054782454020743256,15,722.0
340.0,20,931.0,40.47826086956522,1.2705475111424995,7,439.0,0.11756760510810019,8,344.0,4.41090340317891e-05,15,783.0
345.0,19,989.0,39.56,2.0068429328157644,7,474.0,0.09013105134518348,6,347.0,0.10759847844016701,13,821.0
350.0,14,751.0,31.291666666666668,3.277724854022097,3,369.0,0.33094896373797505,6,372.0,0.1872579755984819,9,741.0
355.0,10,520.0,21.666666666666668,3.6088054316276286,0,275.0,0.3793130335658305,7,405.0,0.22974729028383445,7,680.0
360.0,3,3.0,0.0967741935483871,4.630497541374096,1,239.0,0.19674043128379148,1,131.0,0.4699332125606443,2,370.0
365.0,4,16.0,0.5,8.23658465981937,2,167.0,0.44496634443142574,2,13.0,0.6161877046949461,4,180.0
