step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.970793616800215,0,0.0,0.9796229912877442,0,0.0,0.9746869056090448,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9799728379263701,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9808744557440443,0,0.0,0.9781761511743188,0,0.0,0.9804297686224813,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9807774969330886,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.471521890223201,0,0.0,0.987866599101898,0,0.0,0.9876023261753751,0,0.0,1.0,0,0.0,1.0,0,0.0,0.988407483003723,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9890952699848505,0,0.0,0.9887282358724693,0,0.0,0.9883581816021482,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9099182865980231,0,0.0,1.0,0,0.0
15.0,3,4.0,0.1,11.085653246474179,1,1.0,0.7497629742502604,0,0.0,0.9143895607984599,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9260748159974664,0,0.0,0.9652745977966645,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6115088229221677,0,0.0,0.9223522471534972,0,0.0,0.9283233612749282,0,0.0,0.9561643602643862,0,0.0,1.0,0,0.0,0.9421794849338091,1,2.0,0.5847718277131028,0,0.0,1.0,3,4.0
20.0,7,32.0,0.5714285714285714,10.69494226432387,3,10.0,0.6383284508692599,0,0.0,0.9432117155368033,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9527972630180354,0,0.0,0.9330726675090072,0,0.0,1.0,0,0.0,1.0,2,11.0,0.5477594235243095,0,0.0,0.9255196752366928,0,0.0,0.9529915664687045,0,0.0,0.9579130734911614,0,0.0,1.0,0,0.0,0.8648609619436641,2,11.0,0.5499975827277278,0,0.0,1.0,7,32.0
25.0,11,58.0,0.8055555555555556,8.778364638519074,1,6.0,0.621128074123107,0,0.0,0.9272563296446826,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7833527752332768,0,0.0,0.6611268266290456,0,0.0,1.0,0,0.0,1.0,4,27.0,0.3757374203726657,0,0.0,0.9844507807161365,1,1.0,0.6908344978913852,0,0.0,0.7030330419668874,0,0.0,1.0,1,3.0,0.6987398631837124,4,26.0,0.48942938929233926,0,0.0,0.9654438366291113,11,63.0
30.0,22,146.0,1.825,7.822281547124564,3,13.0,0.6552495611543553,1,6.0,0.7326612967941427,0,0.0,1.0,0,2.0,0.7083472547441338,1,5.0,0.49122043135692417,2,9.0,0.09720297365920509,0,0.0,1.0,0,0.0,1.0,6,54.0,0.27997054556817313,0,0.0,0.9705851655442966,3,12.0,0.5438479499735714,0,0.0,0.8333372546434976,0,1.0,0.40311531620588004,0,0.0,0.9560177745918206,6,51.0,0.4528774360394354,0,0.0,0.9856414539370342,22,153.0
35.0,32,216.0,2.25,6.928398368098544,4,29.0,0.5537216561803752,4,19.0,0.660762596523994,0,0.0,1.0,0,2.0,0.9637230369793252,4,20.0,0.43493992129139847,4,25.0,2.9936640187073213e-05,0,0.0,1.0,0,0.0,1.0,2,44.0,0.41651548788733217,0,0.0,0.7722241600475235,5,29.0,0.4065821489192075,2,5.0,0.004855268805637068,0,3.0,0.8105188549866505,0,0.0,0.9465204863945003,7,86.0,0.34213359975611696,0,0.0,0.24094721468407443,32,262.0
40.0,32,250.0,2.232142857142857,6.948471306035588,7,58.0,0.5229943070326747,5,38.0,0.5830819111673505,0,0.0,1.0,0,2.0,0.739322101704219,0,16.0,0.5206926903754108,4,47.0,0.09766689557159439,0,0.0,1.0,0,0.0,1.0,0,7.0,0.7470555436911619,1,5.0,0.5725183393804476,6,57.0,0.3010816930992188,3,20.0,1.2676041446390088e-05,0,5.0,0.891164591027515,1,1.0,0.1975378941398447,4,76.0,0.38409734036322435,1,8.0,0.2628127289026821,32,340.0
45.0,21,133.0,1.1083333333333334,7.099550904765626,2,47.0,0.5061320496108715,2,33.0,0.45402220698408047,0,0.0,1.0,2,9.0,0.4548150223944936,0,0.0,0.6093448538942742,0,28.0,0.6401246921031521,0,4.0,0.4455318471258395,0,0.0,1.0,2,5.0,0.6153477914703456,0,2.0,0.6761450767505592,8,98.0,0.2187990946177814,0,11.0,0.41001419372074893,0,4.0,0.7655451278059568,3,15.0,0.2673570464487588,2,30.0,0.40492846040737035,0,8.0,0.8068135905959277,21,294.0
50.0,21,104.0,0.7647058823529411,9.016253707590144,1,10.0,0.6021523371762808,5,24.0,0.37202534730373255,0,0.0,0.9697141473931639,0,2.0,0.35333809641819763,1,5.0,0.7662213661160253,0,6.0,0.9118267399240834,0,4.0,0.926167821288155,0,4.0,0.4281828432126133,6,25.0,0.35884217419775344,0,0.0,0.9721694326510475,4,92.0,0.47763760982544795,0,6.0,0.7519576120504882,2,9.0,0.5116344398453538,0,8.0,0.8027422358106484,2,14.0,0.629642988302289,0,6.0,0.8643860370659694,21,215.0
55.0,18,131.0,0.8618421052631579,10.04252118855038,4,16.0,0.6006224412933893,7,55.0,0.4037567980350685,0,0.0,0.8349950292654242,0,4.0,0.9203586672087433,1,10.0,0.7605910409763658,0,2.0,0.846058867810024,0,4.0,0.9415167783164935,0,4.0,0.9616055231242675,1,28.0,0.3627311100341184,0,0.0,0.939681365557977,0,32.0,0.6847230341472559,0,8.0,0.874870296508503,2,23.0,0.21499218898131095,1,6.0,0.8455026796347875,2,24.0,0.6521057985050106,0,2.0,0.8439354577957933,18,218.0
60.0,18,129.0,0.80625,9.552458938393274,5,39.0,0.46194514410001947,2,53.0,0.3621378629868078,1,1.0,0.8049195068388628,0,4.0,0.9653861766633284,1,1.0,0.5785733626734617,1,4.0,0.6332189889437964,0,0.0,0.8817884679273009,0,4.0,0.9549633632332536,0,8.0,0.6292839217279336,0,0.0,0.8085742846524202,2,24.0,0.5764876635012901,0,4.0,0.8879514355949127,2,33.0,0.6723037053301554,1,8.0,0.7914367739282462,2,34.0,0.6692691051676058,1,4.0,0.6589413458213113,18,221.0
65.0,30,145.0,0.8238636363636364,8.610155223774196,1,30.0,0.5162492067800201,4,21.0,0.41286975689241273,3,11.0,0.5538107076510177,2,7.0,0.5950661913246572,2,11.0,0.49814634422998205,1,2.0,0.2513546258861523,0,0.0,0.8572693017305054,0,0.0,0.9210281967897017,0,4.0,0.8888145927766274,4,11.0,0.4192217868421356,6,46.0,0.4347882498471398,0,4.0,0.5159087836438906,0,4.0,0.880223730712714,2,6.0,0.39326305975669007,2,44.0,0.7821696189142339,3,18.0,0.6825144608868713,30,219.0
70.0,46,253.0,1.324607329842932,7.396685964620177,1,6.0,0.6445335571465461,6,45.0,0.4966309965769025,6,40.0,0.5270554793110008,5,25.0,0.3816404989757489,0,6.0,0.5506457274543167,2,17.0,0.27848417412289006,1,1.0,0.11753606595189334,0,0.0,0.861675729232586,0,4.0,0.8757898621691488,4,31.0,0.492163201878546,9,90.0,0.22993836164843245,3,7.0,0.09089807583685487,1,9.0,0.5378475853233301,5,29.0,0.47494874549790794,1,2.0,0.7319997460644068,2,11.0,0.5310623921370985,46,323.0
75.0,54,361.0,1.83248730964467,7.030786073491005,4,21.0,0.5352670011201152,7,77.0,0.5805376745627511,1,37.0,0.21500561821074585,7,60.0,0.3147974866064936,0,4.0,0.8546298258383672,0,8.0,0.8287428380666091,5,24.0,0.11759707879914676,0,0.0,0.9775500697007187,2,3.0,0.6307303621457487,0,19.0,0.6355371810501744,12,144.0,0.16130001840543115,3,19.0,0.12811572927095183,6,29.0,0.34309400377513544,1,28.0,0.4270080984990427,3,13.0,0.6895179793179581,3,13.0,0.3148506344155341,54,499.0
