step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
120.0,7,197.0,11.588235294117647,5.32340399910755,2,72.0,0.0,5,127.0,0.13188768875965742,7,199.0
125.0,8,235.0,14.6875,5.835157767532744,2,82.0,0.3026098715265253,6,155.0,0.14086650029443135,8,237.0
130.0,10,276.0,18.4,3.7212893581793325,3,93.0,0.0014359275996128215,6,185.0,0.0,9,278.0
135.0,9,321.0,22.928571428571427,3.4966542719728544,3,108.0,0.22915124376244578,6,215.0,0.0,9,323.0
140.0,2,38.0,2.7142857142857144,5.167273170052928,1,11.0,0.0902156486989271,1,127.0,0.3142654671681891,2,138.0
145.0,3,52.0,3.466666666666667,8.713660229143052,2,20.0,0.3179766006374317,1,32.0,0.0,3,52.0
150.0,3,67.0,4.785714285714286,8.593341212622523,2,30.0,0.3043860822722195,1,37.0,0.1177726627341843,3,67.0
155.0,4,87.0,10.875,4.2905905270876765,2,40.0,0.0,2,47.0,0.0,4,87.0
160.0,3,88.0,9.777777777777779,5.230802866696715,1,31.0,0.0,2,57.0,0.47309554491744,3,88.0
165.0,5,104.0,9.454545454545455,5.754924097562122,1,36.0,0.0,3,68.0,0.4547108412773286,4,104.0
170.0,4,68.0,4.857142857142857,5.130490751615954,1,41.0,0.0,3,27.0,0.1747190952799742,4,68.0
175.0,6,90.0,5.625,5.762933632788621,1,48.0,0.5469299939367939,4,44.0,0.07277331231432219,5,92.0
180.0,5,85.0,4.25,6.12924493283916,2,56.0,0.472271980396383,2,36.0,0.4445904584811327,4,92.0
185.0,8,110.0,5.5,6.254251852630119,4,70.0,0.4625268418629537,3,42.0,0.28746055153243677,7,112.0
190.0,7,40.0,1.6666666666666667,5.960199776993336,3,27.0,0.3531178463362853,3,13.0,0.3525016634686806,6,40.0
195.0,7,72.0,3.0,6.821200117396157,4,44.0,0.06177047127352867,3,28.0,0.30252606879843363,7,72.0
200.0,10,113.0,5.136363636363637,4.640844207158417,5,66.0,0.07650468563780953,4,47.0,0.2954543610650156,9,113.0
205.0,13,166.0,8.736842105263158,3.3988399455112512,5,91.0,0.15284879230312298,8,75.0,0.08686158191684043,13,166.0
210.0,7,134.0,6.380952380952381,3.698017310608271,3,73.0,0.003885460328796746,4,80.0,0.09721234948287802,7,153.0
215.0,10,165.0,7.173913043478261,5.645586778097169,4,92.0,0.15152560848675295,4,80.0,0.11633520398124056,8,172.0
220.0,8,205.0,8.91304347826087,7.222706690494065,4,112.0,0.3242084671067842,4,93.0,0.27938828290318457,8,205.0
225.0,9,245.0,11.136363636363637,5.332620009710339,4,132.0,0.15715468066413776,4,113.0,0.2893518290496873,8,245.0
230.0,7,244.0,12.2,5.769325671171618,4,138.0,0.10970377414566401,3,106.0,0.2513811513034809,7,244.0
235.0,9,285.0,16.764705882352942,5.434590267887332,4,158.0,0.1813234158689399,5,127.0,0.16414114632365048,9,285.0
240.0,6,159.0,8.833333333333334,4.618510157282346,2,113.0,0.09040055602135733,4,143.0,0.1382130924050866,6,256.0
245.0,7,173.0,10.176470588235293,6.492407399668018,2,25.0,0.396328665580945,5,167.0,0.33869905689362667,7,192.0
250.0,7,201.0,11.823529411764707,5.9394910459539405,1,13.0,0.13690110648368073,5,192.0,0.3927160594461,6,205.0
255.0,9,238.0,14.875,3.8823017506062656,2,22.0,7.718736706004473e-05,7,218.0,0.0600737861371398,9,240.0
260.0,10,287.0,19.133333333333333,3.7478137705285395,2,32.0,0.3194036609949131,8,257.0,0.0,10,289.0
