step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
430.0,15,449.0,13.205882352941176,4.146756440424817,15,623.0,0.12596843951793743,15,623.0
435.0,21,536.0,13.073170731707316,4.6380341385913235,21,710.0,0.27252464109292085,21,710.0
440.0,25,653.0,16.325,3.9573275985025282,25,827.0,0.23565753663039024,25,827.0
445.0,28,784.0,20.102564102564102,3.0414895484129736,28,958.0,0.1822121311132416,28,958.0
450.0,32,934.0,23.94871794871795,1.7338647962019325,32,1108.0,0.0718206469833957,32,1108.0
455.0,36,1107.0,28.384615384615383,0.7196524863005456,36,1281.0,0.05005113357793372,36,1281.0
460.0,37,1292.0,31.51219512195122,0.7924365449099597,37,1466.0,0.05345079870546737,37,1466.0
465.0,33,1033.0,24.023255813953487,1.1901995188100036,33,1458.0,0.07118644260821108,33,1458.0
470.0,26,627.0,12.795918367346939,3.6338517553375507,26,1260.0,0.1939367032279592,26,1260.0
475.0,18,465.0,9.117647058823529,4.6136880624620344,18,1231.0,0.24930017204209598,18,1231.0
480.0,23,543.0,11.3125,3.7942718447232835,23,1287.0,0.14500999988716448,23,1287.0
485.0,23,372.0,7.75,2.9021402547502135,23,1270.0,0.1244079290491204,23,1270.0
490.0,21,178.0,3.9555555555555557,3.0102401160190926,21,1164.0,0.08744645530141067,21,1164.0
495.0,26,277.0,5.8936170212765955,3.5340064625377177,26,1270.0,0.15809156230945087,26,1270.0
500.0,31,420.0,9.545454545454545,2.1391318294374595,31,1406.0,0.051845782492100256,31,1406.0
