step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
195.0,25,700.0,21.21212121212121,2.8896802045788434,25,756.0,0.10968335879976487,25,756.0
200.0,20,352.0,10.666666666666666,2.7325832357589293,20,666.0,0.1484278460219998,20,666.0
205.0,14,215.0,6.515151515151516,4.609660053373895,14,436.0,0.23217638992408401,14,436.0
210.0,15,184.0,5.257142857142857,4.524675124359631,15,467.0,0.18327042456640583,15,467.0
215.0,17,254.0,8.193548387096774,4.396534025850304,17,478.0,0.13218773025479055,17,478.0
220.0,19,346.0,8.871794871794872,6.432318959723537,19,559.0,0.31410829895661213,19,559.0
225.0,13,201.0,5.583333333333333,6.0645202240337195,13,551.0,0.3261817564860893,13,551.0
230.0,12,172.0,4.914285714285715,5.35478266720402,12,437.0,0.24203851236593735,12,437.0
235.0,18,249.0,7.545454545454546,4.726353615919384,18,514.0,0.15882989704747086,18,514.0
240.0,21,350.0,11.290322580645162,3.7524852693976856,21,615.0,0.14503051799795863,21,615.0
245.0,17,244.0,8.133333333333333,3.5454118510844594,17,560.0,0.15805048794023827,17,560.0
250.0,13,172.0,5.733333333333333,5.380394231221976,13,381.0,0.2480086863986634,13,381.0
255.0,15,242.0,6.914285714285715,7.109735437713777,15,294.0,0.30001993097344315,15,294.0
260.0,11,165.0,5.15625,6.779021519706545,11,280.0,0.3559265008814676,11,280.0
265.0,5,121.0,4.321428571428571,6.531474882503329,5,196.0,0.3458043575645232,5,196.0
270.0,11,163.0,5.620689655172414,7.454838330106239,11,163.0,0.3007247125508155,11,163.0
275.0,11,218.0,8.384615384615385,6.573183374386953,11,218.0,0.16613694585469238,11,218.0
280.0,13,281.0,11.708333333333334,6.033741550040946,13,281.0,0.2633051036742382,13,281.0
285.0,13,346.0,18.210526315789473,3.831280574301259,13,346.0,0.19354123258107012,13,346.0
290.0,11,325.0,11.607142857142858,6.003762573967849,11,363.0,0.4054367454564787,11,363.0
295.0,13,388.0,13.857142857142858,7.056860550058717,13,388.0,0.398992918213205,13,388.0
300.0,14,454.0,15.655172413793103,5.147764165314388,14,454.0,0.24789046222430092,14,454.0
305.0,16,511.0,18.25,3.8545005404916908,16,513.0,0.18035892724456049,16,513.0
310.0,17,596.0,21.285714285714285,4.232716004921497,17,596.0,0.14818934216258553,17,596.0
315.0,19,688.0,23.724137931034484,4.298376092282152,19,688.0,0.16565509373635295,19,688.0
320.0,19,783.0,27.964285714285715,3.5981495428713766,19,783.0,0.1922355703808463,19,783.0
325.0,21,883.0,30.448275862068964,3.5237742280615927,21,883.0,0.21947656355094414,21,883.0
330.0,21,988.0,31.870967741935484,3.9025399575867867,21,988.0,0.2244934221630202,21,988.0
335.0,17,643.0,19.484848484848484,3.5549001323301654,17,915.0,0.1887940281580182,17,915.0
340.0,11,391.0,12.21875,4.467755869312596,11,707.0,0.2299708100348236,11,707.0
345.0,13,432.0,12.705882352941176,4.662834244907575,13,757.0,0.18530348548192815,13,757.0
350.0,20,519.0,15.727272727272727,3.7952218596365683,20,844.0,0.1436036511115554,20,844.0
355.0,23,629.0,19.65625,3.382865111918207,23,954.0,0.13062804424485674,23,954.0
360.0,24,746.0,24.866666666666667,2.167719047131852,24,1071.0,0.0716946173523941,24,1071.0
365.0,25,871.0,23.54054054054054,4.218879600896908,25,1196.0,0.2659819707667929,25,1196.0
370.0,20,773.0,20.89189189189189,3.1986607235630156,20,1218.0,0.17578461134398676,20,1218.0
375.0,24,853.0,21.871794871794872,3.8899600151118228,24,1209.0,0.16484864419184406,24,1209.0
380.0,25,971.0,24.897435897435898,3.455252746293577,25,1327.0,0.07009858507252457,25,1327.0
385.0,28,1108.0,29.157894736842106,3.471903862409891,28,1464.0,0.12095933724301884,28,1464.0
390.0,22,974.0,27.055555555555557,3.188681476260541,22,1397.0,0.12581518083520687,22,1397.0
