step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,32,552.0,3.704697986577181,8.361101242798533,16,323.0,0.27830981620104367,0,0.0,0.9522685512903124,0,2.0,0.8414682395719959,0,0.0,0.925621852071338,0,6.0,0.7140396128867444,5,105.0,0.5045957979601388,0,0.0,0.925143883052916,0,0.0,0.9623612610564931,0,0.0,0.948376921355827,0,0.0,0.9325961315261828,0,88.0,0.480934038597286,0,4.0,0.8712293929132688,0,0.0,0.9569908291277808,0,0.0,0.9395702552039009,10,130.0,0.27888670208325966,1,53.0,0.265490665373611,32,711.0
60.0,43,741.0,4.780645161290322,7.985529815129819,17,404.0,0.18765924575161397,0,0.0,0.9441062169635519,0,4.0,0.8956645250186956,0,0.0,0.9815043293795956,2,11.0,0.5456905961103624,5,130.0,0.4959550319896476,0,0.0,0.9704901480530087,0,0.0,0.9306780290065992,0,0.0,0.9557823084740842,0,0.0,0.9220451768492766,4,96.0,0.34674168715450265,0,4.0,0.9515820348350623,0,0.0,0.9622089161598962,0,0.0,0.9608818663742641,11,186.0,0.19521911098925201,4,17.0,0.3739765948585155,43,852.0
65.0,56,973.0,5.8969696969696965,7.140827589826648,19,497.0,0.21062240090132828,0,0.0,0.9671202248147226,0,4.0,0.9219451207650025,0,0.0,0.9466744847803842,7,38.0,0.38563918450408274,6,157.0,0.04731139343467268,0,0.0,0.9551630659230278,0,0.0,0.9727417277634236,0,0.0,0.9692717315540186,0,0.0,0.9439619418162918,9,131.0,0.28551393945105175,1,6.0,0.5327798254351832,0,0.0,0.9419398487474261,0,0.0,0.9615144319700676,14,251.0,0.32882371324479903,0,13.0,0.5848594160274337,56,1097.0
70.0,65,1115.0,6.482558139534884,6.6001898077335195,21,597.0,0.2367378053455052,0,0.0,0.9628223284504663,1,5.0,0.514281688890238,0,0.0,0.9275932732511804,9,79.0,0.2558401496514998,5,124.0,0.3766271389764634,0,4.0,0.7546598914541954,0,0.0,0.9807515624656404,0,0.0,0.9609449931619822,0,0.0,0.8921217704748525,14,193.0,0.25943427795648333,0,5.0,0.4504181748203885,0,4.0,0.776417792564501,0,0.0,0.9358501741492452,15,326.0,0.3151228182257494,0,0.0,0.842801690874022,65,1337.0
75.0,75,1451.0,8.291428571428572,6.708263270347594,23,709.0,0.15210465563943423,0,0.0,0.9454141929919802,5,26.0,0.35634883058853384,0,0.0,0.977244687758819,11,129.0,0.3108115875190372,0,25.0,0.7213501853408408,1,6.0,0.7979520853684481,0,0.0,0.9296529708173386,0,0.0,0.9540582358226194,0,0.0,0.9541830843637733,16,268.0,0.25421699448482393,2,8.0,0.42572141769017413,0,4.0,0.9044869975653976,0,0.0,0.9008513790681967,17,407.0,0.2167507027585878,0,0.0,0.9011261993462624,75,1582.0
80.0,86,1839.0,9.887096774193548,6.235785313550604,25,827.0,0.1382798966675321,0,0.0,0.9453107146639725,5,51.0,0.35576308541293067,0,0.0,0.9571547706493673,13,187.0,0.3853672055986207,4,31.0,0.40341924912185617,2,13.0,0.727081748780985,0,0.0,0.9478043296880759,0,0.0,0.9606323595281592,0,0.0,0.9454705778450044,18,353.0,0.20410924844916858,0,3.0,0.6015989074062894,0,4.0,0.9358951284916215,0,0.0,0.8876109723472724,19,500.0,0.18969546354373917,0,2.0,0.4430774216595421,86,1971.0
85.0,88,2200.0,11.055276381909549,6.0156451231663,27,957.0,0.161003929767634,0,0.0,0.9728699803073919,0,36.0,0.6450565750243613,0,2.0,0.8148509995319191,14,254.0,0.3278299545952034,5,56.0,0.15528380018100932,0,5.0,0.5132624313221881,0,0.0,0.9527191164323137,0,0.0,0.9463276240848315,0,0.0,0.9765994379219188,20,447.0,0.2173104746317306,0,0.0,0.8618849667029174,1,5.0,0.4151725777736246,0,0.0,0.8581193837535178,21,600.0,0.18472340707576004,0,4.0,0.8239426180678594,88,2366.0
90.0,89,2423.0,11.935960591133005,5.764945138458893,28,1093.0,0.13083346049524916,0,0.0,0.8627858069852827,1,1.0,0.5661269010832046,0,4.0,0.868202964720967,11,253.0,0.18924610197123803,0,40.0,0.18505439978450947,4,13.0,0.3090928412081319,0,0.0,0.9130881883476482,0,0.0,0.9565192390455657,0,0.0,0.9315476672379699,22,552.0,0.1584563628155095,0,0.0,0.9769317857568542,0,4.0,0.534484168664889,0,4.0,0.7476828675461208,23,711.0,0.14797934537552923,0,4.0,0.9149877183476752,89,2679.0
95.0,92,2709.0,12.778301886792454,6.063045691239942,30,1237.0,0.13456558558192008,0,0.0,0.9539958062343226,0,0.0,0.44087091383510996,0,4.0,0.9222448942244079,8,187.0,0.30215638451941856,1,8.0,0.7721097514290712,4,37.0,0.45817094657432983,2,2.0,0.4910865312200069,0,0.0,0.9554458279529964,0,0.0,0.9360773018952313,23,664.0,0.151918865035664,0,0.0,0.5145702251456851,0,0.0,0.590153628570472,0,4.0,0.8983194371541217,24,828.0,0.18871102333472753,0,0.0,0.8923936436579227,92,2971.0
100.0,92,3110.0,14.072398190045249,5.910696705224777,32,1392.0,0.14450029786764443,0,0.0,0.9461895513729648,0,2.0,0.5268691370450794,1,6.0,0.4105736125051738,1,164.0,0.39371798643506456,0,4.0,0.9047078176733214,4,57.0,0.6144242672520629,0,0.0,0.7956999485164873,0,0.0,0.9492899922780186,0,0.0,0.9792943753378505,25,785.0,0.1422132555925266,2,8.0,0.5262325670250029,0,0.0,0.62830038182531,0,4.0,0.9226288130633258,27,957.0,0.13516880110280222,0,0.0,1.0,92,3379.0
105.0,107,3111.0,14.013513513513514,4.904582670232351,28,1376.0,0.10921072863183066,0,4.0,0.755336438205909,0,2.0,0.8305433858455565,5,26.0,0.2745393630742031,8,171.0,0.3145172486749081,2,7.0,0.5931540898800602,6,79.0,0.3531487756705915,1,4.0,0.7178358816487789,0,0.0,0.9242449430836063,0,0.0,0.9249841153264503,27,918.0,0.05459589742590757,0,2.0,0.7131038550934251,0,0.0,0.9345122601032064,1,5.0,0.5010363724152387,29,1095.0,0.1490310718402242,0,4.0,0.3984615209874971,107,3693.0
110.0,113,2925.0,12.289915966386555,4.9256232879256405,24,1185.0,0.15021910087712848,0,4.0,0.8915398989596177,0,2.0,0.869025644852514,5,51.0,0.26763422316648283,13,224.0,0.24589672392454628,7,29.0,0.21090082380698352,4,68.0,0.09058833749465169,0,2.0,0.598699002435427,0,0.0,0.9788143916614978,0,0.0,0.9624775559660663,29,1060.0,0.03068308869542854,0,0.0,0.8365695229430841,0,0.0,0.9637331304316032,1,2.0,0.3778696221041776,30,1242.0,0.10651893769336353,0,4.0,0.8756280819110687,113,3873.0
115.0,113,3009.0,12.182186234817813,5.337784585777113,17,1270.0,0.16520707956008118,0,4.0,0.9533983015913595,0,0.0,0.8175869008608385,1,37.0,0.12686706757382138,17,304.0,0.21335448637177226,7,64.0,4.5426035834508175e-06,5,35.0,0.32719528999621245,0,4.0,0.8622311353444809,0,0.0,0.9565304456898054,0,0.0,0.9606316096755803,31,1213.0,0.04531479867014806,0,0.0,0.9628735982409501,0,0.0,0.9494991091132304,3,14.0,0.4035847750014458,32,1398.0,0.07417149880753873,0,4.0,0.9251616181767714,113,4347.0
120.0,105,3234.0,13.254098360655737,5.299877222735122,14,1331.0,0.18428815914562313,0,4.0,0.4706164414745822,0,0.0,0.9527541647998777,2,16.0,0.19993020381157087,20,399.0,0.13932791193257327,1,56.0,0.48248611623696547,1,33.0,0.5428227376909472,0,4.0,0.9004889043619457,0,0.0,0.9317649411919856,0,0.0,0.9379028072906325,33,1376.0,0.138308020574957,0,0.0,0.9404011471463182,0,0.0,0.9225064193912438,0,10.0,0.3843548138310698,34,1563.0,0.03222405801044397,0,0.0,0.9196726390728692,105,4792.0
125.0,118,3694.0,15.201646090534979,5.10922402723989,16,1401.0,0.17128066246165005,5,22.0,0.3195566093355648,1,1.0,0.37093068950366637,0,4.0,0.8506792361389598,21,501.0,0.17887781984550777,0,0.0,0.8819163260010456,2,22.0,0.7085409304684255,2,10.0,0.32429130272042406,0,0.0,0.9535555716364756,0,0.0,0.9715259036633492,35,1545.0,0.1918244167100102,0,0.0,0.9572935510229326,0,0.0,0.7403934397289101,0,0.0,0.8303098511272667,35,1738.0,0.0003552234449946754,1,1.0,0.5661533242139586,118,5245.0
130.0,126,3676.0,14.94308943089431,4.663247200428856,17,1314.0,0.16033374939286724,6,56.0,0.38984114153474825,3,11.0,0.001521618051919768,0,4.0,0.952927891961385,23,611.0,0.10598497668306724,0,0.0,0.8958510037512694,2,32.0,0.7094001134421589,1,10.0,0.3503337095061336,0,0.0,0.9838972691907089,0,0.0,0.9748585109800403,36,1719.0,0.1455326725627179,0,0.0,0.9244769632746149,3,9.0,0.4766848580661922,1,2.0,0.5007173279234569,31,1716.0,0.09091597456047451,3,17.0,0.4856188595075279,126,5501.0
135.0,109,3351.0,13.790123456790123,4.799975482604484,14,1073.0,0.16161996909774556,6,86.0,0.5449732783603948,0,8.0,0.41124566777138954,0,0.0,0.9108149541567105,25,732.0,0.037448104027393354,0,2.0,0.50607168784332,3,48.0,0.21020441882529742,0,1.0,0.8410076081168725,0,0.0,0.9592755059181489,0,0.0,0.9548583048287455,36,1899.0,0.026945038348051342,0,0.0,0.9265997298390607,0,6.0,0.5595697365095624,3,16.0,0.3590255833747194,22,1488.0,0.2573899020671547,0,11.0,0.6568318784116154,109,5370.0
140.0,111,3342.0,13.475806451612904,5.0118884944130535,13,1059.0,0.18713925400791576,6,116.0,0.531356322782115,0,4.0,0.8501942536322812,0,0.0,1.0,26,861.0,0.06728407774072234,0,4.0,0.7936612864196914,8,83.0,0.24230481530335704,1,4.0,0.7859674005867151,0,0.0,0.961746808342614,0,0.0,0.941521757566608,36,2083.0,0.020968960743965984,0,0.0,0.945546676148124,0,0.0,0.7199137419675787,5,39.0,0.3769911009301203,16,1578.0,0.23777663314285918,0,4.0,0.8431888525703641,111,5835.0
145.0,108,2957.0,11.828,4.668728030230844,13,1123.0,0.18313905921345983,9,152.0,0.2876739137057192,0,2.0,0.8853053807109211,0,4.0,0.4353348738889073,29,1002.0,0.1854561076370243,0,2.0,0.8614273513807781,9,126.0,0.169909551921108,1,5.0,0.6531797644546614,0,0.0,0.9756799476130474,0,0.0,0.9712969947137615,31,2047.0,0.11524572768070218,0,2.0,0.6731207180352399,0,0.0,0.9436020045278195,1,32.0,0.49566617723121614,13,1648.0,0.16122811022869069,2,7.0,0.5035992034529283,108,6152.0
150.0,101,2426.0,9.704,4.786735947999146,14,1187.0,0.16578475597621317,13,211.0,0.22281704222867055,0,2.0,0.7916793846770497,0,4.0,0.9145302412033104,31,1151.0,0.21783531595327563,0,2.0,0.7128296621358153,3,95.0,0.36785943023739115,0,4.0,0.6051317839825369,0,0.0,0.9548907378197111,0,0.0,0.9603879377398676,22,1797.0,0.23228904411250398,1,6.0,0.6460334143864456,0,0.0,0.9486269433048147,0,5.0,0.5975938761438871,15,1712.0,0.07535862591400613,2,6.0,0.0921329095693369,101,6182.0
155.0,112,2397.0,9.21923076923077,5.2311067739766575,21,1284.0,0.15399631211160114,13,276.0,0.1770261057529387,0,4.0,0.8810537081959426,0,2.0,0.9165865653685819,32,1310.0,0.15690280165110865,0,0.0,1.0,1,41.0,0.7002661980743558,1,8.0,0.6246463710076732,0,0.0,0.9330380438708512,0,0.0,0.9377309882447146,18,1890.0,0.19759418365168327,0,7.0,0.8143133785267408,0,0.0,0.9619133632960224,0,0.0,0.9370258967657729,22,1810.0,0.08146505392009054,4,25.0,0.1699558972987899,112,6657.0
160.0,124,2466.0,9.16728624535316,5.149916423672578,28,1407.0,0.11830767960829423,13,341.0,0.22764289559608877,0,4.0,0.9263884966612445,0,0.0,0.8501250056188964,34,1477.0,0.03583358627724166,0,4.0,0.5073007469160946,3,46.0,0.6385874496028389,0,4.0,0.9287510667571007,0,0.0,0.9768389853620494,0,0.0,0.962827818662289,14,1966.0,0.1833788411275878,2,8.0,0.4941585346345998,0,0.0,0.9478216140271075,0,0.0,0.9474017024134949,30,1943.0,0.16335287164310447,0,18.0,0.717774800842611,124,7218.0
165.0,134,2630.0,9.850187265917603,4.744343633506611,29,1365.0,0.1118764298171649,7,310.0,0.2688834297882563,0,0.0,0.7179942690751348,0,0.0,0.8519184861050461,36,1654.0,0.02690896114577773,0,4.0,0.8712006125270955,3,61.0,0.47708434280669776,1,5.0,0.6079349201361719,0,4.0,0.7521040379608919,0,0.0,0.9692696885394396,16,2040.0,0.1301395241429258,6,28.0,0.13066226614648624,0,0.0,0.9105881088913893,0,0.0,0.952672361482768,36,2110.0,0.12900961210190304,0,3.0,0.9301674917019981,134,7584.0
170.0,135,2950.0,10.845588235294118,4.96675303370299,23,1152.0,0.15025021971055855,2,166.0,0.5404869437608035,2,6.0,0.4907003824703677,0,0.0,0.9400414909660393,36,1834.0,0.11359803838637311,0,4.0,0.8766543138154417,3,76.0,0.0,5,23.0,0.5462070638838805,0,4.0,0.8919609630713037,0,0.0,0.9632487723910932,22,2142.0,0.041972549862395625,6,58.0,0.13036867114760342,0,0.0,0.9170716253135537,0,0.0,0.9515231651050945,36,2289.0,0.13022714903385135,0,0.0,0.9340203732380203,135,7754.0
175.0,129,3357.0,12.296703296703297,4.869015941184362,16,1168.0,0.17714382279983595,2,137.0,0.49724851446735663,0,4.0,0.6360642696254203,0,0.0,0.7740528388408022,36,2014.0,0.14987355478272052,0,0.0,0.9174401850663513,3,93.0,0.1735867625306636,6,53.0,0.5068657460358962,0,4.0,0.9465112955817013,0,0.0,0.9529246772585742,30,2282.0,0.031222156893675163,0,48.0,0.21585888818683668,0,0.0,0.9506653334888165,0,0.0,0.9399565334500355,36,2469.0,0.07379757072731132,0,0.0,1.0,129,8272.0
